symbol,bid_size,bid,ask,ask_size,last,change,open,high,low,previous_close,turnover,volume,operations,datetime,expiration,strike,kind,underlying_asset
COMV113.AB,1.0,2.751,,,,,,,,2.5,,,,,2024-04-19,113.0,PUT,COME
COMC118.AB,50.0,17.0,17.7,5.0,17.5,4.58,17.0,17.5,17.0,16.733,66620.0,39.0,6.0,2024-02-22 11:54:44,2024-04-19,118.0,CALL,COME
COMV118.AB,12.0,5.08,,,,,,,,,,,,,2024-04-19,118.0,PUT,COME
COMC123.AB,10.0,13.25,15.65,4.0,15.611,10.71,15.84,15.84,14.33,14.1,7723.0,5.0,3.0,2024-02-22 11:56:56,2024-04-19,123.0,CALL,COME
COMV123.AB,10.0,3.5,,,,,,,,,,,,,2024-04-19,123.0,PUT,COME
COMC128.AB,75.0,12.0,13.0,60.0,12.5,3.9,14.0,14.0,12.0,12.03,14307.0,11.0,5.0,2024-02-22 12:02:36,2024-04-19,128.0,CALL,COME
COMV128.AB,6.0,11.58,,,,,,,,,,,,,2024-04-19,128.0,PUT,COME
COMC134.AB,41.0,5.575,13.364,2.0,,,,,,9.0,,,,,2024-04-19,134.0,CALL,COME
COMC140.AB,2.0,4.51,7.0,46.0,7.0,,7.0,7.0,7.0,7.0,317800.0,454.0,3.0,2024-02-22 11:53:53,2024-04-19,140.0,CALL,COME
COMC146.AB,2.0,2.76,5.8,30.0,,,,,,5.8,,,,,2024-04-19,146.0,CALL,COME
COMC152.AB,2.0,1.76,3.9,40.0,,,,,,4.1,,,,,2024-04-19,152.0,CALL,COME
COMC158.AB,2.0,1.1,,,,,,,,,,,,,2024-04-19,158.0,CALL,COME
COMC164.AB,1.0,2.35,2.9,6.0,2.4,1.73,2.89,2.9,2.4,2.359,86791.0,358.0,6.0,2024-02-22 11:52:31,2024-04-19,164.0,CALL,COME
COMC50.0JU,5.0,43.2,,,,,,,,60.001,,,,,2024-06-19,50.0,CALL,COME
COMC60.0JU,1.0,60.001,91.9,4.0,,,,,,70.0,,,,,2024-06-19,60.0,CALL,COME
COMC90.0JU,32.0,31.1,60.0,42.0,,,,,,45.0,,,,,2024-06-19,90.0,CALL,COME
COMC99.0JU,,,,,,,,,,48.0,,,,,2024-06-19,99.0,CALL,COME
COMC105.JU,,,,,,,,,,17.777,,,,,2024-06-19,105.0,CALL,COME
COMC108.JU,,,42.0,7.0,40.0,,41.0,41.0,40.0,40.0,65000.0,16.0,3.0,2024-02-22 11:22:56,2024-06-19,108.0,CALL,COME
COMV108.JU,29.0,0.752,,,,,,,,,,,,,2024-06-19,108.0,PUT,COME
COMV113.JU,18.0,2.26,,,,,,,,,,,,,2024-06-19,113.0,PUT,COME
COMC118.JU,50.0,18.06,,,,,,,,,,,,,2024-06-19,118.0,CALL,COME
COMV118.JU,12.0,5.15,,,,,,,,,,,,,2024-06-19,118.0,PUT,COME
COMC123.JU,4.0,16.1,,,,,,,,,,,,,2024-06-19,123.0,CALL,COME
COMC128.JU,2.0,28.0,36.666,3.0,,,,,,27.0,,,,,2024-06-19,128.0,CALL,COME
COMC134.JU,54.0,11.675,,,,,,,,14.38,,,,,2024-06-19,134.0,CALL,COME
COMV134.JU,58.0,0.91,,,,,,,,,,,,,2024-06-19,134.0,PUT,COME
COMC140.JU,42.0,9.1,,,,,,,,,,,,,2024-06-19,140.0,CALL,COME
COMC146.JU,61.0,6.895,,,,,,,,,,,,,2024-06-19,146.0,CALL,COME
